Name,Description,styleUrl,NameEN,Power,ChargeCoreDescription,Address,Latitude,Longitude,Provider,Coordinates
BYD Rêver Automotive Rama9,"Name-EN: <br>Power: 60 kW<br>Description: 2x CCS2: 60 kW, 2x Type2: 22 kW<br>Address: <br>Latitude: 13.7424213<br>Longitude: 100.6344698<br>Provider: Sharge",#icon-1899-DB4436-labelson,,60 kW,"2x CCS2: 60 kW, 2x Type2: 22 kW",,13.7424213,100.6344698,etc: Sharge,"
            100.6344698,13.7424213,0
          "
BYD Sor.Aroon Group Chainat,"Name-EN: <br>Power: 60 kW<br>Description: 2x CCS2: 60 kW, 2x Type2: 22 kW<br>Address: <br>Latitude: 15.290731802141659<br>Longitude: 100.19410998349294<br>Provider: Sharge",#icon-1899-DB4436-labelson,,60 kW,"2x CCS2: 60 kW, 2x Type2: 22 kW",,15.290731802141659,100.19410998349294,etc: Sharge,"
            100.194109983493,15.2907318021417,0
          "
BYD Sor.Aroon Group Uthaithani,"Name-EN: <br>Power: 60 kW<br>Description: 2x CCS2: 60 kW, 2x Type2: 22 kW<br>Address: <br>Latitude: 15.40415025834672<br>Longitude: 100.03617401772317<br>Provider: Sharge",#icon-1899-DB4436-labelson,,60 kW,"2x CCS2: 60 kW, 2x Type2: 22 kW",,15.40415025834672,100.03617401772317,etc: Sharge,"
            100.036174017723,15.4041502583467,0
          "
BYD Spyder Group Petchakasem,"Name-EN: <br>Power: 60 kW<br>Description: 2x CCS2: 60 kW, 2x Type2: 22 kW<br>Address: <br>Latitude: 13.708584394541129<br>Longitude: 100.38507464001448<br>Provider: Sharge",#icon-1899-DB4436-labelson,,60 kW,"2x CCS2: 60 kW, 2x Type2: 22 kW",,13.708584394541129,100.38507464001448,etc: Sharge,"
            100.385074640014,13.7085843945411,0
          "
BYD Srisomboon Group Lop Buri,"Name-EN: <br>Power: 60 kW<br>Description: 2x CCS2: 60 kW, 2x Type2: 22 kW<br>Address: <br>Latitude: 14.764824269934275<br>Longitude: 100.71547697976176<br>Provider: Sharge",#icon-1899-DB4436-labelson,,60 kW,"2x CCS2: 60 kW, 2x Type2: 22 kW",,14.764824269934275,100.71547697976176,etc: Sharge,"
            100.715476979762,14.7648242699343,0
          "
BYD SUSCO Beyond Pratunam Phra-in,"Name-EN: <br>Power: 60 kW<br>Description: 2x CCS2: 60 kW, 2x Type2: 22 kW<br>Address: <br>Latitude: 14.150844356404525<br>Longitude: 100.61858523999875<br>Provider: Sharge",#icon-1899-DB4436-labelson,,60 kW,"2x CCS2: 60 kW, 2x Type2: 22 kW",,14.150844356404525,100.61858523999875,etc: Sharge,"
            100.618585239999,14.1508443564045,0
          "
Shell Asoke,"Name-EN: <br>Power: 90 kW<br>Description: CCS2: 90 kW, CHAdeMO: 90 kW, Type2: 90 kW<br>Address: <br>Latitude: 13.7430786<br>Longitude: 100.5622713<br>Provider: Sharge",#icon-1899-DB4436-labelson,,90 kW,"CCS2: 90 kW, CHAdeMO: 90 kW, Type2: 90 kW",,13.7430786,100.5622713,etc: Sharge,"
            100.5622713,13.7430786,0
          "
Ekkamai Power center,"Name-EN: <br>Power: 50 kW<br>Description: CCS2: 50 kW, Type2: 22 kW<br>Address: <br>Latitude: 13.72656<br>Longitude: 100.58545<br>Provider: Sharge",#icon-1899-DB4436-labelson,,50 kW,"CCS2: 50 kW, Type2: 22 kW",,13.72656,100.58545,etc: Sharge,"
            100.58545,13.72656,0
          "
La villa ari,"Name-EN: <br>Power: 50 kW<br>Description: CCS2: 50 kW, Type2: 22 kW<br>Address: <br>Latitude: 13.7799<br>Longitude: 100.54507<br>Provider: Sharge",#icon-1899-DB4436-labelson,,50 kW,"CCS2: 50 kW, Type2: 22 kW",,13.7799,100.54507,etc: Sharge,"
            100.54507,13.7799,0
          "
Market Place Krungthep Kreetha,"Name-EN: <br>Power: 50 kW<br>Description: CCS2: 50 kW, Type2: 22 kW<br>Address: <br>Latitude: 13.74988<br>Longitude: 100.66743<br>Provider: Sharge",#icon-1899-DB4436-labelson,,50 kW,"CCS2: 50 kW, Type2: 22 kW",,13.74988,100.66743,etc: Sharge,"
            100.66743,13.74988,0
          "
Shell Bang Yai,Name-EN: <br>Power: 180 kW<br>Description: 2x CCS2: 180 kW<br>Address: <br>Latitude: 13.835807<br>Longitude: 100.413976<br>Provider: Sharge,#icon-1899-DB4436-labelson,,180 kW,2x CCS2: 180 kW,,13.835807,100.413976,etc: Sharge,"
            100.413976,13.835807,0
          "
Shell Chumphon,Name-EN: <br>Power: 90 kW<br>Description: 2x CCS2: 90 kW<br>Address: <br>Latitude: 10.5644408<br>Longitude: 99.11620575<br>Provider: Sharge,#icon-1899-DB4436-labelson,,90 kW,2x CCS2: 90 kW,,10.5644408,99.11620575,etc: Sharge,"
            99.11620575,10.5644408,0
          "
SHELL DO SOMSAK KLANG Rayong,"Name-EN: <br>Power: 90 kW<br>Description: 2x CCS2: 90 kW, 2x Type2: 22 kW<br>Address: <br>Latitude: 12.782678165804768<br>Longitude: 101.68936387469633<br>Provider: Sharge",#icon-1899-DB4436-labelson,,90 kW,"2x CCS2: 90 kW, 2x Type2: 22 kW",,12.782678165804768,101.68936387469633,etc: Sharge,"
            101.689363874696,12.7826781658048,0
          "
SHELL HW204 Bypass Korat,Name-EN: <br>Power: 90 kW<br>Description: 2x CCS2: 90 kW<br>Address: <br>Latitude: 15.060990380816223<br>Longitude: 102.17410191732306<br>Provider: Sharge,#icon-1899-DB4436-labelson,,90 kW,2x CCS2: 90 kW,,15.060990380816223,102.17410191732306,etc: Sharge,"
            102.174101917323,15.0609903808162,0
          "
SHELL LADKRABANG,Name-EN: <br>Power: 90 kW<br>Description: 2x CCS2: 90 kW<br>Address: <br>Latitude: 13.71478723544262<br>Longitude: 100.81047704054349<br>Provider: Sharge,#icon-1899-DB4436-labelson,,90 kW,2x CCS2: 90 kW,,13.71478723544262,100.81047704054349,etc: Sharge,"
            100.810477040543,13.7147872354426,0
          "
Shell Nakhon Sawan,Name-EN: <br>Power: 90 kW<br>Description: 2x CCS2: 90 kW<br>Address: <br>Latitude: 15.5461640<br>Longitude: 100.1275230<br>Provider: Sharge,#icon-1899-DB4436-labelson,,90 kW,2x CCS2: 90 kW,,15.5461640,100.1275230,etc: Sharge,"
            100.127523,15.546164,0
          "
