Name,Description,styleUrl,NameEN,Power,ChargeCoreDescription,Address,Latitude,Longitude,Provider,Coordinates
ปตท บจ.สมบูรณ์ออยล์สตูล,"Name-EN: PTT Somboon Oil Satun Co., Ltd<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 280 หมู่ 11 ตำบลทุ่งนุ้ย อำเภอควนกาหลง สตูล 91130<br>Latitude: 6.847554<br>Longitude: 100.106017<br>Provider: PTT",#icon-1899-DB4436-labelson,"PTT Somboon Oil Satun Co., Ltd",120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",280 หมู่ 11 ตำบลทุ่งนุ้ย อำเภอควนกาหลง สตูล 91130,6.847554,100.106017,PTT,"
            100.106017,6.847554,0
          "
ปตท บจ.วรปัญญาปิโตรเลียม,Name-EN: PTT Vorapanya Petroleum<br>Power: 120 kW<br>Description: StarCharge Jupiter120: 2x CCS2 (1000V 200A)<br>Address: 98 ม.1 ถ.สระบุรี-หล่มสัก ต.ชัยนารายณ์ อ.ชัยบาดาล ลพบุรี 15130<br>Latitude: 15.2037409<br>Longitude: 101.0937421<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Vorapanya Petroleum,120 kW,StarCharge Jupiter120: 2x CCS2 (1000V 200A),98 ม.1 ถ.สระบุรี-หล่มสัก ต.ชัยนารายณ์ อ.ชัยบาดาล ลพบุรี 15130,15.2037409,101.0937421,PTT,"
            101.0937421,15.2037409,0
          "
ปตท บจ.แม่สอดปิโตรเลียม (สนญ.),"Name-EN: PTT Mae Sot Petroleum (Head Office)<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 88 ถ.สายเอเซีย ต.แม่สอด อ.แม่สอด ตาก 63110<br>Latitude: 16.7251768<br>Longitude: 98.5957172<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Mae Sot Petroleum (Head Office),120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",88 ถ.สายเอเซีย ต.แม่สอด อ.แม่สอด ตาก 63110,16.7251768,98.5957172,PTT,"
            98.5957172,16.7251768,0
          "
ปตท บจ.ไนซ์ปิโตรเลียมเพชรบุรี,"Name-EN: PTT Nice Petroleum Phetchaburi<br>Power: 120 kW<br>Description: ChargeCore NKR-ADC: 2x CCS2, Type 2 (1000V 200A)<br>Address: 159 ม.5 ต.ไร่ส้ม อ.เมืองเพชรบุรี เพชรบุรี 76000<br>Latitude: 13.118076<br>Longitude: 99.907981<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Nice Petroleum Phetchaburi,120 kW,"ChargeCore NKR-ADC: 2x CCS2, Type 2 (1000V 200A)",159 ม.5 ต.ไร่ส้ม อ.เมืองเพชรบุรี เพชรบุรี 76000,13.118076,99.907981,PTT,"
            99.907981,13.118076,0
          "
เอ็มทูโฮเทล วอเตอร์ไซด์,"Name-EN: M2 Hotel Waterside<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 629 หมู่ 17 ตำบล บ้านต๋อม อำเภอเมืองพะเยา จ.พะเยา 56000<br>Latitude: 19.179774486435036<br>Longitude: 99.88550585421058<br>Provider: PTT",#icon-1899-DB4436-labelson,M2 Hotel Waterside,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",629 หมู่ 17 ตำบล บ้านต๋อม อำเภอเมืองพะเยา จ.พะเยา 56000,19.179774486435036,99.88550585421058,PTT,"
            99.8855058542106,19.179774486435,0
          "
ปตท บจ.วารินปิโตรเลียม (เลี่ยงเมือง),"Name-EN: PTT Warinpetroleum (Liangmueang)<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 111 ม.4 ต.คำน้ำแซบ อ.วารินชำราบ จ.อุบลราชธานี 34190<br>Latitude: 15.193621<br>Longitude: 104.814747<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Warinpetroleum (Liangmueang),120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",111 ม.4 ต.คำน้ำแซบ อ.วารินชำราบ จ.อุบลราชธานี 34190,15.193621,104.814747,PTT,"
            104.814747,15.193621,0
          "
ปตท บจ.แบร็กซ์ แอนด์ เบน,"Name-EN: PTT Brax & Ben<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 3767 ถนนพระรามที่ 4 แขวงพระโขนง เขตคลองเตย จ.กรุงเทพมหานคร 10110<br>Latitude: 13.713208976590384<br>Longitude: 100.58209545104862<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Brax & Ben,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",3767 ถนนพระรามที่ 4 แขวงพระโขนง เขตคลองเตย จ.กรุงเทพมหานคร 10110,13.713208976590384,100.58209545104862,PTT,"
            100.582095451049,13.7132089765904,0
          "
ปตท หจก.อุดมชัยวิทย์,Name-EN: PTT Udomchaiwit<br>Power: 120 kW<br>Description: ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>Address: 31/2 ม.2 ถ.เพชรเกษม ต.ยายชา อ.สามพราน จ.นครปฐม 73110<br>Latitude: 13.7376310570855<br>Longitude: 100.242340406523<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Udomchaiwit,120 kW,ChargeCore CCSx2: 2x CCS2 (1000V 200A),31/2 ม.2 ถ.เพชรเกษม ต.ยายชา อ.สามพราน จ.นครปฐม 73110,13.7376310570855,100.242340406523,PTT,"
            100.242340406523,13.7376310570855,0
          "
ปตท บจ.สุวรรณ เอนเนอร์ยี่ แอนด์ เทรด,"Name-EN: PTT Suwan Energy and Trade<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 68/3 หมู่ 13 ต.อ้อมน้อย อ.กระทุ่มแบน จ.สมุทรสาคร 74130<br>Latitude: 13.704852<br>Longitude: 100.311308<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Suwan Energy and Trade,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",68/3 หมู่ 13 ต.อ้อมน้อย อ.กระทุ่มแบน จ.สมุทรสาคร 74130,13.704852,100.311308,PTT,"
            100.311308,13.704852,0
          "
ปตท บจ.ดีเอ็นเอสพี รุ่งโรจน์,Name-EN: PTT DNSP Rungroj<br>Power: 120 kW<br>Description: ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>Address: 65/6 ม.6 ต.คลองใหม่ อ.สามพราน จ.นครปฐม 73110<br>Latitude: 13.7479339<br>Longitude: 100.203987<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT DNSP Rungroj,120 kW,ChargeCore CCSx2: 2x CCS2 (1000V 200A),65/6 ม.6 ต.คลองใหม่ อ.สามพราน จ.นครปฐม 73110,13.7479339,100.203987,PTT,"
            100.203987,13.7479339,0
          "
ปตท หจก.สมจิตรบริการ,"Name-EN: PTT Somjit Service<br>Power: 120 kW<br>Description: StarCharge Jupiter120: 2x CCS2, Type 2 (1000V 200A)<br>Address: 999 ถ.สุขุมวิท ต.ปากน้ำ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270<br>Latitude: 13.581597<br>Longitude: 100.605996<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Somjit Service,120 kW,"StarCharge Jupiter120: 2x CCS2, Type 2 (1000V 200A)",999 ถ.สุขุมวิท ต.ปากน้ำ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,13.581597,100.605996,PTT,"
            100.605996,13.581597,0
          "
ปตท บจ.สยามเออเบินพัฒนา,Name-EN: PTT Siam Urban Pattana<br>Power: 120 kW<br>Description: ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>Address: 41/66 ม.5 ถ.เชื่อมสัมพันธ์ แขวงโคกแฝด เขตหนองจอก จ.กรุงเทพมหานคร 10530<br>Latitude: 13.82718<br>Longitude: 100.847605<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Siam Urban Pattana,120 kW,ChargeCore CCSx2: 2x CCS2 (1000V 200A),41/66 ม.5 ถ.เชื่อมสัมพันธ์ แขวงโคกแฝด เขตหนองจอก จ.กรุงเทพมหานคร 10530,13.82718,100.847605,PTT,"
            100.847605,13.82718,0
          "
ปตท หจก.ลานทอง มุกดาหาร,Name-EN: PTT Lan Thong Mukdahan<br>Power: 120 kW<br>Description: ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>Address: 555 ม.7 ต.บางทรายใหญ่ อ.เมืองมุกดาหาร จ.มุกดาหาร 49000<br>Latitude: 16.588513<br>Longitude: 104.71951<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Lan Thong Mukdahan,120 kW,ChargeCore CCSx2: 2x CCS2 (1000V 200A),555 ม.7 ต.บางทรายใหญ่ อ.เมืองมุกดาหาร จ.มุกดาหาร 49000,16.588513,104.71951,PTT,"
            104.71951,16.588513,0
          "
